Название,КОПУК,Адрес,"Число предметов основного фонда на конец года, единиц","Число предметов научно-вспомогательного фонда на конец года, единиц","Число музейных предметов, внесенных в электронный каталог музея, единиц","Число выставок – всего, единиц (сумма гр.5,6,7)","Число посещений – всего, тыс.чел. (сумма гр.4,7)","Численность работников - всего, человек","Число строений - всего, единиц"
Отрадненский историко-археологический музей,110770,"352290 Краснодарский край, ст-ца Отрадная, ул.Первомайская, 22",22902,7662,257,28,13,9,2
"Музей-заповедник ""Хуртуях Тас""",139548,"655700 Республика Хакасия, с.Аскиз",24,59,24,16,42.4,15,8
Новоалтайский краеведческий музей,111152,"658087 Алтайский край, г.Новоалтайск, ул.XXII партсъезда, 9",7072,6392,0,50,4,8,1
Этнографический комплекс в с.Оюсардах,128986,"678786 Респ.Саха(Якутия), Среднеколымский улус, с.Оюсардах",13412,8072,0,26,1.7000000000000002,4,15
Музей археологии и краеведения г.Дубны,119243,"141980 Московская обл., г.Дубна, ул.Моховая, 11",3013,1148,0,6,5.6,9,2
Большеигнатовский краеведческий музей,126730,"431670 Респ.Мордовия, с.Большое Игнатово, ул.Гражданская, 17б",1111,0,0,6,0.8,1,1
Абазинский историко-краеведческий музей,139529,"655750 Республика Хакасия, г.Абаза, ул.Набережная, 24",2133,2035,1300,23,5.1,4,4
"Гос.ист-худ.дв-парк.музей-зап.""Гатчина""",117483,"188300 Ленинградская обл., г.Гатчина, Красноармейский пр., 1",14768,19817,5952,17,285.5,256,72
Губахинский историко-краеведческий музей,129796,"618250 Пермский край, г.Губаха, ул.Орджоникидзе, 8",4462,13432,3791,50,29.6,11,1
Музейно-выставочный комплекс г.Лесного,136610,"624200 Свердловская обл., г.Лесной, ул.Ленина, 54",18420,4724,7131,69,43.3,28,2
Мысковский ист.-этнографический музей,133240,"652840 Кемеровская обл., г.Мыски, ул.Олимпийская, 17/1",1394,1984,1363,39,6.3,11,2
"Музейный комплекс Г.Тукая, Н.Кырлай",127146,"422035 Респ.Татарстан, Арский р-н, с.Новый Кырлай, ул.Центральная, 4",1021,514,0,19,51.3,20,9
Карабудахкентский краеведческий музей,134417,"368530 Республика Дагестан, Карабудахкентский р-н, с.Карабудахкент",665,506,0,10,6,5,1
Шарканский краеведческий музей,128295,"427070 Удмуртская Респ.,с.Шаркан,ул.Ленина,10",3560,1174,0,31,9.1,9,1
Алексеевский краеведческий музей,114703,"403241 Волгоградская обл., ст.Алексеевская, пер.Калинина, 19",6121,1240,2278,20,3.6,4,1
Ирбейский районный музей,139482,"663650 Красноярский край, Ирбейский р-н, с.Ирбейское, пер.Красноармейский, 7",2745,385,0,29,3.8,2,1
Лесосибирский городской выставочный зал,111679,"662543 Красноярский край, г.Лесосибирск, ул.Привокзальная, 9",1620,1084,1620,68,11.2,14,2
Ивангородский ист.-арх. и худож.музей,118217,"188490 Ленинградская обл., г.Ивангород, Кингисеппское шоссе, 6/1",8477,6707,12345,15,20.2,33,5
Амурский краев.музей Новикова-Даурского,112386,"675000 г.Благовещенск, ул.Ленина, 165",125138,37703,11237,92,162.9,55,1
"Архитектурно-этнографич.музей ""Тальцы""",114930,"664003 г.Иркутск, ул.Грязнова, 22а",11675,16116,27772,36,173.5,146,148
