Название,КОПУК,Адрес,"Число предметов основного фонда на конец года, единиц","Число предметов научно-вспомогательного фонда на конец года, единиц","Число музейных предметов, внесенных в электронный каталог музея, единиц","Число выставок – всего, единиц (сумма гр.5,6,7)","Число посещений – всего, тыс.чел. (сумма гр.4,7)","Численность работников - всего, человек","Число строений - всего, единиц"
"Гос.выставочный зал ""Солянка ВПА""",141092,"109028 г.Москва, ул.Солянка, 1/2, стр.2",36,0,0,18,9.9,22,1
Городской музей истории г.Батайска,131620,"346880 Ростовская обл., г.Батайск, ул.Кирова, 51а, литер А",10721,4775,5136,20,11.9,16,2
"Краеведческий музей им.Таврата,Колымское",138884,"678835 Респ.Саха(Якутия), Нижнеколымский р-н, с.Колымское, ул.Черского, 32",0,0,0,0,0,0,0
Краснодар.музей-заповедник им.Е.Фелицына,111186,"350000 г.Краснодар, ул.Гимназическая, 67",321057,92535,211301,46,132,180,9
"Гос.музей-зап.М.Шолохова, Вешенская",121493,"346270 Ростовская обл.,Шолоховский р-н,ст-ца Вешенская,ул.Шолохова,60",44605,31059,53216,51,99.1,343,79
Музей народов севера Бурятии им.А.Г.Позднякова,124966,"671510 Респ.Бурятия, Баунтовский р-н, п.Багдарин, ул.Ленина, 53",2986,645,2354,7,2.8,11,2
"Историко-литературный музей ""А.П.Чехов и Сахалин""",122320,"694420 Сахалинская обл., г.Александровск-Сахалинский, ул.Чехова, 19",14879,5653,11651,15,14.2,28,11
Дуванский историко-краеведческий музей,141942,"452530 Респ.Башкортостан, Дуванский р-н, с.Месягутово,ул.Крупской, 1",800,174,0,32,2.5,4,1
Ашинский музейно-выставочный центр,125390,"456010 Челябинская обл., г.Аша, ул.40-летия Победы, 21",57,0,0,24,10,7,1
Сунтарский муз.комплекс им.С.А.Зверева,129442,"678290 Респ.Саха(Якутия), Сунтарский улус, с.Сунтар, ул.Вилюйская, 32",303,3051,298,35,17.8,10,1
Музей Фахри Насретдинова и Бану Валиевой,137082,"422345 Республика Татарстан, Апастовский р-н, с.Шамбулыхчи",3050,826,0,7,1.1,1,1
Краеведческий музей г.Ломоносова,118113,"198412 г.Санкт-Петербург, Ломоносов, ул.Еленинская, 25",8757,5934,2948,14,13.5,33,2
Москаленский краеведческий музей,129673,"646070 Омская обл., п.Москаленки, ул.Центральная, 63",3500,2800,2289,30,16.1,7,1
Мемориальный комплекс В.П.Астафьева в с.Овсянка,130948,"663080 Красноярский край, с.Овсянка, ул.Щетинкина, 26",0,0,0,2,24.3,7,9
Мемориальный дом-музей А.Чекалина,130844,"301422 Тульская обл., Суворовский р-н, с.Песковатское",32,111,0,8,1.4,2,1
Анабарский этно-краеведческий музей,139815,"678440 Респ.Саха(Якутия), Анабарский улус, с.Саскылах, ул.Октябрьская, 9",3320,66,0,27,1.7000000000000002,3,1
Тобольский гос.историко-архит.музей-зап.,123501,"626152 Тюменская обл., г.Тобольск, Красная площадь, 1, стр.4",287706,117684,405390,108,241,256,51
"Музей ""Степная Дума""",132638,"669472 Иркутская обл., Аларский р-н, с.Аларь, ул.Советская, 35",0,0,0,3,0.8,1,1
"Ист.-мем.музей ""КП Воронеж.фронта""",117233,"306210 Курская обл., Пристенский р-н, п.Кировский, ул.Ватутина, 28",1320,1337,0,14,7.7,8,2
"Музей под открытым небом ""Усть-Сос""",140095,"655770 Респ.Хакасия, с.Бея, пл.Советов, 20а",19,0,0,32,8.6,3,7
Исторический музей г.Тайги,133202,"652401 Кемеровская обл., г.Тайга, ул.Почтовая, 99/2",5768,140,1593,35,4.9,5,1
Красно-Чикойский ист.-этнографич.музей,137665,"673060 Забайкальский край, с.Красный Чикой, ул.Первомайская, 70",9634,6874,0,35,5.3,4,2
Музей нар.поэта Чувашии П.П.Хузангая,136978,"422898 Республика Татарстан, Алькеевский р-н, с.Хузангаево, ул.Майская, 17",356,290,0,6,3,5,1
Объед-ние гос.литерат.-мем.музеев ПО,120908,"440000 г.Пенза, ул.Кирова, 2",34083,21694,13966,22,21.6,39,3
Музей Боевой Славы,112831,"414000 г.Астрахань, ул.Ахматовская, 7",0,0,0,24,25,19,1
Вохомский краеведческий музей,116419,"157760 Костромская обл., п.Вохма, ул.Пионерская, 4а",6423,6489,7890,12,1.3,9,1
"Гос.ист.-арх.музей ""Зарайский Кремль""",119652,"140600 Московская обл., г.Зарайск, пл.Революции, 2",47181,207239,18359,14,54.1,70,14
Камешковский ист.-краеведческий музей,140155,"601300 Владимирская обл., г.Камешково, ул.Ленина, 2",2724,1939,0,10,5.2,7,2
"Музей Циолковского,авиации,космонавтики",133306,"610000 г.Киров, ул.Преображенская, 16",6601,4311,425,15,17.2,9,1
"Гос.музей-заповедник ""Московский Кремль""",110145,"103073 г.Москва, Кремль",135093,4234,135092,10,2479,635,19
Музей истории Братскгэсстроя,133039,"665702 Иркутская обл., г.Братск, ул.Гидростроителей, 54",0,0,0,25,9.1,11,1
Вилючинский краеведческий музей,132144,"684090 Камчатский край, г.Вилючинск, ул.Приморская, 6",3135,12850,5752,20,10.1,7,1
Сибайский историко-краеведческий музей,124754,"453833 Респ.Башкортостан, г.Сибай, пр.Горняков, 45",7150,3327,0,39,21.6,9,1
Лыткаринский ист.-краеведческий музей,134718,"140081 Московская обл., г.Лыткарино, квартал 7, дом 6",21520,11045,2665,10,2.9,27,2
Литературно-худож. музей им.И.Васильева,121440,"182156 Псковская обл., Великолукский р-н, д.Борки, ул.Пионерская, 3",154,355,0,31,1.3,4,4
Хиславичский краеведческий музей,129550,"216620 Смоленская обл., п.Хиславичи, ул.Советская, 32",764,487,150,8,1.7000000000000002,2,1
"Эколого-метод.центр ""Дом природы"",Надым",129372,"629736 Ямало-Ненецкий а.о., г.Надым, Парковый проезд, 1",2815,577,3392,41,10.3,16,1
"Рег.ист.-культ. и эколог.центр, Мегион",129160,"628684 Ханты-Мансийский а.о., г.Мегион, ул.Заречная, 16б",12786,5076,17862,43,17.2,42,2
Национальный музей Респ.Коми,126105,"167000 Респ.Коми, г.Сыктывкар, ул.Коммунистическая, 6",203827,54456,197567,58,83.2,97,6
Спасский ф-л Пенз.музея нар.творч-ва,110643,"442600 Пензенская обл., г.Спасск, Советская пл., 4",1513,89,0,34,2.5,3,1
Гусевский историко-краеведческий музей,115223,"238051 Калининградская обл., г.Гусев, ул.Московская, 36а",13417,2164,8811,40,17.6,21,1
Боковский краеведческий музей,121608,"346250 Ростовская обл., ст-ца Боковская, ул.Теличенко, 18",2038,970,1650,19,3.5,4,1
Мем.музей генерала Армии М.Малинина п.Антропово,116620,"157260 Костромская обл., Антроповский р-н, п.Антропово, ул.Кирова, 8",2046,1009,3043,11,1.2,6,1
Буйнакский краеведческий музей,125210,"368222 Респ.Дагестан, г.Буйнакск, ул.Ленина, 42",2886,800,0,5,7.2,16,1
Моск.лит.музей-центр К.Паустовского,137025,"109472 г.Москва, ул.Кузьминская, 8",17032,5323,2400,35,25,16,3
Сафоновский ист.-краеведческий музей,122689,"215500 Смоленская обл., г.Сафоново, ул.Советская, 30",2029,2087,1000,21,7,3,1
Рузаевский краеведческий музей,126590,"431460 Респ.Мордовия, г.Рузаевка, ул.Куйбышева, 60",9504,6887,0,0,0,2,1
Нижневарт.краеведческий музей им.Шуваева,129086,"628600 Ханты-Мансийский а.о., г.Нижневартовск, ул.60 лет Октября, 4/П",21031,15568,22700,86,9.3,41,11
Жуковский городской музей,119258,"140180 Московская обл., г.Жуковский, ул.Чкалова, 41",21124,2760,553,3,3,9,1
Маслянинский ист.-краеведческий музей,110540,"633564 Новосибирская обл., п.Маслянино, ул.Пролетарская, 14",2041,1988,786,55,3.8,4,1
Мариинско-Посадский краеведческий музей,128030,"429570 Чувашская Респ., г.Мариинский Посад, ул.Ленинская, 1",12827,542,5483,38,9,6,2
Любинский историко-краеведческий музей,135388,"646160 Омская обл., п.Любинский, ул.Победы, 15",6063,370,3250,25,16.2,9,1
Пугачевский краеведческий музей,122068,"413720 Саратовская обл., г.Пугачев, ул.Топорковская, 25",30611,7737,72,19,21,10,1
Вятско-Полянский исторический музей,116230,"612960 Кировская обл., г.Вятские Поляны, ул.Советская, 51",14667,17580,4828,28,23.2,15,2
Государственная Третьяковская галерея,110094,"119017 г.Москва, Лаврушинский пер., 10",158601,29508,188109,119,2187.9,1178,25
Музейное агентство,118236,"191311 г.Санкт-Петербург, ул.Смольного, 3, литер А",27601,4969,32570,14,6.2,46,1
Комаричский историко-краеведческий музей,134826,"242400 Брянская обл., Комаричский р-н, п.Комаричи, ул.Советская, 28",923,569,0,17,7.4,3,1
Музей государственности им.И.Н.Барахова,141533,"678710 Респ.Саха(Якутия), Таттинский улус, с.Харбалах",1107,405,0,20,6,0,1
"Калинингр.музей ""Художественная галерея""",115187,"236006 г.Калининград, Московский пр., 60-62",10115,3840,10115,69,65,50,1
Нижегородский выставочный комплекс,114485,"603005 г.Нижний Новгород, пл.Минина и Пожарского, 2/2",0,0,0,36,113.8,40,1
Зимовниковский краеведческий музей,134173,"347460 Ростовская обл., Зимовниковский р-н, п.Зимовники, пер.Третьяковский, 105В",4538,1212,2578,18,5.6,6,1
Ярополецкий краеведческий музей,119215,"143632 Московская обл., Волоколамский р-н, с.Ярополец, ул.Додогорского, 2",1002,2555,0,3,3,1,1
Каргопольский историко-архитектурный и худ.музей,112687,"164110 Архангельская обл., г.Каргополь, пр.Октябрьский, 50",33272,14599,18078,37,67,56,16
Талдомский историко-литературный музей,119690,"141900 Московская обл., г.Талдом, ул.Салтыкова-Щедрина, 41",13552,3443,2100,4,6.4,15,2
Даниловская художественная галерея,135987,"152072 Ярославская обл., г.Данилов, ул.Володарского, 45",420,0,0,10,3.6,7,1
Калининский ист.-краеведческий музей,122208,"412484 Саратовская обл., г.Калининск, ул.Советская, 20",11195,814,40,8,6,5,1
Мемор.жертв полит.репрессий(1944-1957гг),135513,"360002 г.Нальчик, Долинск, ул.Канукоева",4667,2272,6202,41,80,8,1
"Лит.-мем.музей Стальского, с.Ашага-Стал",125259,"368765 Респ.Дагестан,Сулейман-Стальский р-н,с.Ашага-Стал",0,0,0,0,0,0,0
"Музей-заповедник ""Дмитровский Кремль""",119633,"141800 Московская обл., г.Дмитров, Историческая пл., 1",34946,11821,8457,32,30.4,134,12
Воронежский обл.худож.музей им.Крамского,114042,"394036 г.Воронеж, пр.Революции, 18",22085,1136,10363,43,128.9,46,2
Уразовский краеведческий музей,113073,"309970 Белгородская обл., Валуйский р-н, п.Уразово, ул.9 Января, 3",19687,7984,654,16,6.6,4,1
Белгородский гос.художественный музей,113020,"308600 г.Белгород, ул.Победы, 77",4688,478,4957,40,72.2,83,6
Куюргазинский ист.-краеведческий музей,138028,"453360 Респ.Башкортостан, Куюргазинский р-н, с.Ермолаево, пр.Мира, 8",3175,3449,0,19,2.8,2,1
Первомайский музей леса и краеведения,136060,"152430 Ярославская обл., Первомайский р-н, п.Пречистое, ул.Ярославская, 52",1807,196,1809,23,7.7,5,1
Верхотурский ист.-архитект.музей-запов,122373,"624380 Свердловская обл., г.Верхотурье, ул.Советская, 8",13127,28901,1050,74,56.2,40,5
"Гос.выставочный зал ""Тушино""",140935,"125459 г.Москва, бульвар Яна Райниса, 19, корп.1",0,0,0,53,26.9,28,1
Музей истории и культурного наследия Агрызского района,136478,"422230 Республика Татарстан, г.Агрыз, ул.К.Маркса, 7",3972,409,0,16,3.4,7,1
Кадыйский краеведческий музей,116391,"157980 Костромская обл., п.Кадый, ул.Новая, 15",4229,464,4229,15,2.1,3,1
Петровск-Забайкал. краеведческий музей,147614,"673009 Забайкальский край, г.Петровск-Забайкальский, ул.Пушкина, 18",2110,2386,0,18,2.4,3,1
Новопокровск.ист-лит.музей им.Первенцева,138244,"353020 Краснодарский край, ст-ца Новопокровская, ул.Ленина, 119",3721,2285,0,32,7.3,6,2
Плавский районный краеведческий музей,135049,"301470 Тульская обл., г.Плавск, ул.Калинина, 3",1431,759,1364,38,3.7,5,1
"Военно-исторический музей ""Зайцева гора""",115685,"249656 Калужская обл., Барятинский р-н, п/о Цветовка, п/о Зайцева Гора",2365,2191,0,9,5.9,4,1
Краеведческий музей города Великие Луки,121328,"182112 Псковская обл., г.Великие Луки, пл. А.Матросова, 1",2579,683,3262,10,19.1,19,2
Хоринский историко-краеведческий музей,124970,"671410 Респ.Бурятия, Хоринский р-н, с.Хоринск, ул.Ленина, 21",3586,415,1267,13,1.7000000000000002,4,1
Спасский ист.-археологический музей,121830,"391050 Рязанская обл., г.Спасск-Рязанский, ул.Советская, 16",6292,4045,2073,16,5.1,7,1
Эртильский краеведческий музей,114112,"397030 Воронежская обл., г.Эртиль, ул.Труда, 7",2103,26156,0,14,4.4,4,2
Литерат.-худ.музей М.И.и А.И.Цветаевых,113497,"601655 Владимирская обл., г.Александров, ул.Военная, 2",13704,23252,0,15,9.6,15,4
Суровикинский ист.-краеведческий музей,113321,"404415 Волгоградская обл., г.Суровикино, мкр.2, дом 3",1219,2075,0,17,3,5,1
Черепановский краеведческий музей,120166,"633525 Новосибирская обл., г.Черепаново, ул.Партизанская, 10б, РДК",4970,2145,1817,20,5,4,1
Кинешемский обл.художественно-ист.музей,114733,"155800 Ивановская обл., г.Кинешма, ул.Комсомольская, 30",12968,5398,10305,9,31,26,3
Ичалковский краеведческий музей,126800,"431640 Респ.Мордовия, Ичалковский р-н, с.Кемля, ул.Советская, 56",2900,1952,0,0,2.7,1,0
Новочебоксар.ист-худож.музейный комплекс,128079,"429951 Чувашская Респ., г.Новочебоксарск, бульвар Гидростроителей, 4",4588,820,1248,50,46,36,2
Павловский исторический музей,114409,"606100 Нижегородская обл., г.Павлово, ул.Красноармейская, 6",30891,10806,950,24,12.1,11,3
Макарьевский краеведческий музей,116423,"157460 Костромская обл., г.Макарьев, пл.Революции, 9",5292,7054,1206,12,1.2,8,1
Ногайский краеведческий музей,125314,"368850 Респ.Дагестан, Ногайский р-н, с.Терекли-Мектеб, ул.К.Маркса",1798,825,0,6,11.2,7,1
Оконешниковский ист-краеведческий музей,135227,"646940 Омская обл., п.Оконешниково, ул.Пролетарская, 54",6000,1664,4760,22,7.5,5,1
Устюженский краеведческий музей,113887,"162840 Вологодская обл., г.Устюжна, Соборная пл., 5",44129,10848,17536,26,12.7,18,2
Балезинский ист.-краеведческий музей,128420,"427550 Удмуртская Респ., п.Балезино, ул.Кирова, 10а",12676,4729,0,23,11.6,6,2
Кимовский историко-краеведческий музей,135053,"301720 Тульская обл., г.Кимовск, ул.Толстого, 34",746,61,639,27,53.8,8,2
Дом-музей Достоевского в г.Старая Русса,120096,"175200 Новгородская обл., г.Старая Русса, наб.Достоевского, 42/2",0,0,0,20,29.8,21,2
Музей Кинзи Арсланова,130581,"453352 Респ.Башкортостан, Куюргазинский р-н, п/о Абдулово, д.Кинзеабызово,ул.40 лет Победы, 2",1107,321,0,9,2,1,1
Домик няни А.С.Пушкина в Кобрино,136164,"188355 Ленинградская обл., Гатчинский р-н, д.Кобрино, 27",0,0,0,12,17.5,8,1
Балашихинская картинная галерея,134652,"143912 Московская обл., г.Балашиха, пр.Ленина, 10",3423,1631,1521,23,24.6,14,4
Прокопьевский гор.краеведческий музей,116071,"653000 Кемеровская обл., г.Прокопьевск, пр.Шахтеров, 63",21854,980,0,50,36.1,21,1
"Гос.ист.- арх.прир. музей-зап.""Изборск""",121296,"181518 Псковская обл., Печорский р-н, д.Изборск, ул.Печорская, 39",56865,5327,1360,38,422.1,106,25
"Полт.музей наскального иск-ва""Хайа хоос""",139502,"655703 Республика Хакасия, Аскизский р-н, с.Полтаков, ул.Первомайская, 8",151,0,93,4,4.4,3,1
Шатковский историко-краеведческий музей,133575,"607700 Нижегородская обл., п.Шатки, ул.Центральная, 24",940,225,0,12,4.7,13,3
Музей Газиза Кашапова,149304,"422000 Республика Татарстан, Аксубаевский р-н, с.Новое Узеево",910,267,102,12,1.9,1,1
Камышловский краеведческий музей,122418,"624860 Свердловская обл., г.Камышлов, ул.Гагарина, 9",4963,5320,1273,47,14.7,10,1
Красноперекопский краеведческий музей,142521,"296000 Республика Крым, г.Красноперекопск, ул.Калинина, 11",1485,300,0,17,9.6,3,3
Ахтынский краеведческий музей,125244,"367000 Респ.Дагестан, Ахтынский р-н, с.Ахты",7165,820,0,10,15.8,14,1
Алтайский гос.мем. музей Г.С.Титова,110935,"659814 Алтайский край, Косихинский р-н, с.Полковниково, ул.Школьная, 3а",7519,2321,850,10,10.6,16,2
Карачевский краеведческий музей,113209,"242500 Брянская обл., г.Карачев, ул.Ленина, 29а",6077,2991,0,17,13.5,6,1
Музей Ахсана Мухаметкулова,130609,"453232 Респ.Башкортостан, Ишимбайский р-н, д.Макарово, ул.Центральная, 19а",116,36,0,3,0.4,1,1
Ржевский краеведческий музей,115539,"172381 Тверская обл., г.Ржев, Красноармейская наб., 24а",6248,2587,1059,7,16.5,8,2
Историко-краеведческий музей с.Татарка,112511,"356230 Ставропольский край, Шпаковский р-н, с.Татарка, ул.Минина, 2а",3921,1053,4971,14,3.7,3,1
Музей нар.промыслов и ремесел Приморья,112545,"163502 Архангельская обл., Приморский р-н, п.Уемский, ул.Заводская, 7",8198,3197,0,23,9.3,11,1
"Ханты-Мужевский парк-музей ""Живун""",135104,"629640 Ямало-Ненецкий а.о., с.Мужи, ул.Комсомольская, 9",1392,603,1995,54,1.7000000000000002,10,16
Сызранский краеведческий музей,116777,"446001 Самарская обл., г.Сызрань, пер.Достоевского, 34",37396,16700,6576,58,34.7,45,4
Миллеровский краеведческий музей,131669,"346130 Ростовская обл., г.Миллерово, пер.Коммунальный, 4б",2985,2340,700,18,8.5,3,1
"Гос.музей истории культуры,иск-ва Алтая",110997,"656056 г.Барнаул, ул.Л.Толстого, 2",68620,10750,79370,67,13.3,51,4
Сковородинский краеведческий музей,133946,"676014 Амурская обл., г.Сковородино, ул.Победы, 28",5908,4425,0,49,19.6,6,1
Музей истории Рыбинского района,130971,"663970 Красноярский край, с.Рыбное, ул.Трактовая, 1а",6077,1305,1650,55,5,8,1
Чеховский музей памяти 1941-1945 гг.,110154,"142306 Московская обл., г.Чехов, ул.Чехова, 28",1477,1568,0,9,6.3,6,1
Музей города-курорта Теберда,112121,"369120 Респ.Карачаево-Черкессия, г.Теберда, пер.Домбайский, 6",2174,5465,0,10,2.3,6,1
"Музейно-выст.центр ""Путевой дворец""",134722,"141506 Московская обл., г.Солнечногорск, ул.Красная, 84",7301,6950,3562,14,12.2,27,1
Александровский художественный музей,113482,"601650 Владимирская обл., г.Александров, ул.Советская, 16",16457,8494,0,42,23.3,31,6
Мем.музей военного и труд.подвига 41-45г,126798,"430000 г.Саранск, ул.Советская, 36",27409,30979,3083,302,69.5,63,2
Копейский краеведческий музей,123802,"456618 Челябинская обл., г.Копейск, пр.Коммунистический, 18",8633,19563,21541,22,12.7,26,1
Сунский историко-краеведческий музей,134296,"612450 Кировская обл., Сунский р-н, п.Суна, ул.Колхозная, 4а",1928,2437,0,21,4,3,1
"МО ""Музей Москвы""",118787,"119021 г.Москва, Зубовский бульвар, 2",450798,326067,130455,43,705.4,336,28
Кушвинский краеведческий музей,136713,"624300 Свердловская обл., г.Кушва, ул.Фадеевых, 39",1872,2553,2000,21,7.5,12,1
Народный музей Адамовского района,141548,"462830 Оренбургская обл., Адамовский р-н, п.Адамовка, ул.Шеменева, 23",4531,661,2251,26,8.6,2,1
Новороссийский историч.музей-заповедник,111294,"353900 Краснодарский край, г.Новороссийск, ул.Советов, 58",167582,95048,62990,42,158.9,92,7
Карасукский краеведческий музей,120471,"632868 Новосибирская обл., г.Карасук, ул.Октябрьская, 14",9886,3321,2768,160,16.9,14,1
Тарусская картинная галерея,115789,"249100 Калужская обл., г.Таруса, пл.Ленина, 1а",1094,0,1010,27,9.5,7,1
Грязовецкий музей истории и нар.культуры,113800,"162000 Вологодская обл., г.Грязовец, ул.К.Маркса, 67",7411,2177,2792,20,11.7,7,1
Староладожский ист.-арх.и археол.муз-зап,118151,"187412 Ленинградская обл., с.Старая Ладога, Волховский пр., 19",144129,9424,141693,34,124,62,9
Соликамский музей природы,129989,"618540 Пермский край, г.Соликамск, ул.Набережная, 92",924,924,0,10,8,4,1
"Музей М.Е.Салтыкова-Щедрина, с.Спас-Угол",119629,"141923 Московская обл., Талдомский р-н, с.Спас-Угол",0,0,0,4,6.1,4,1
"Архитектурно-этнографический музей-заповедник ""Щелковский хутор""",141752,"603081 г.Нижний Новгород, ул.Горбатовская, 41",0,3098,0,14,26.9,21,14
Идринск.краеведческий музей им.Летягина,137966,"662680 Красноярский край, Идринский р-н, с.Идринское, ул.Ленина, 18",2707,337,270,12,2.9,3,1
Шебекинский ист.-художественный музей,113001,"309292 Белгородская обл., г.Шебекино, ул.Ленина, 93",39101,7203,22934,55,8,17,1
Кочкуровский музей боев.и труд.подвига,146490,"431580 Респ.Мордовия, Кочкуровский р-н, с.Кочкурово, ул.Ленинская, 1",839,0,0,18,2.9,1,1
Дюртюлинский ист.-краеведческий музей,124612,"452320 Респ.Башкортостан, г.Дюртюли, ул.Мусина, 64",14411,5979,0,42,20,10,1
Гор.краеведческий музей г.Арамиль,130280,"624000 Свердловская обл., г.Арамиль, ул.Рабочая, 120а",857,207,0,27,5.2,1,1
Боровский историко-краеведческий музей,115690,"249010 Калужская обл., г.Боровск, пл.Ленина, 7",6569,6616,5947,26,7.2,4,1
Лискинский историко-краеведческий музей,131616,"397901 Воронежская обл., г.Лиски, пл.Революции, 10а",14329,6907,0,35,4.2,12,1
Воронежский обл. краеведческий музей,114004,"394018 г.Воронеж, ул.Плехановская, 29",114059,62896,51190,54,96.5,78,4
Беломорский краеведческий музей,125901,"186500 Респ.Карелия, г.Беломорск, ул.Октябрьская, 5а",3855,2482,751,18,7.9,7,2
Увинский историко-художественный музей,127659,"427260 Удмуртская Респ., п.Ува, ул.Энгельса, 12",3164,1387,3080,49,14.9,15,2
Мурманский обл. художественный музей,119920,"183038 г.Мурманск, ул.Коминтерна, 13",8506,2141,10647,123,142.2,56,2
Курильский краеведческий музей,122231,"694530 Сахалинская обл., г.Курильск, ул.Андрея Евдокимова, 17",5140,990,1441,8,3.5,2,1
Муз.-парк.комплекс Садонского комбината,138545,"363240 Респ.Сев.Осетия-Алания, г.Алагир, ул.Басиевой, 111",1035,378,0,0,3.6,12,1
Михайловский краеведческий музей,130079,"623080 Свердловская обл., г.Михайловск, ул.Кирова, 30",11098,8035,0,51,6.4,6,2
Краеведческий музей им.Розова Никол.МР,112282,"682460 Хабаровский край, г.Николаевск-на-Амуре, ул.Советская, 71",51526,16786,14018,28,9.4,24,2
Ульяновская картинная галерея,115774,"249750 Калужская обл., с.Ульяново, ул.Лапшова, 8",394,0,349,20,1,1,1
Историко-мем.центр-музей И.А.Гончарова,138808,"432601 г.Ульяновск, ул.Ленина, 134/20",1445,0,0,14,66.3,36,1
Центр изучения наследия В.П.Врасского,139196,"175327 Новгородская обл., Демянский р-н, с.Никольское",140,0,0,0,0.2,1,0
Красноармейский краеведческий музей,122180,"412800 Саратовская обл., г.Красноармейск, ул.Интернациональная, 32",6514,3852,40,21,6.4,5,1
Государственная галерея им.А.А.Кадырова,140297,"364051 г.Грозный, пр.им.Х.А.Исаева, 75",994,1227,0,45,40.5,38,2
Гаринский краеведческий музей,141336,"624910 Свердловская обл., п.Гари, ул.Октябрьская, 27",1400,160,0,38,3.1,3,1
"Ист.-этнограф.музей-зап.""Ялкала""",134101,"188838 Ленинградская обл., Выборгский р-н, п.Ильичево",1330,178,1308,10,8.6,16,4
Ивантеевский ист.-краеведческий музей,134671,"141282 Московская обл., г.Ивантеевка, Центральный пр., 1",19374,6557,0,16,17.5,5,1
Всероссийский музей ДПНИ,119099,"127473 г.Москва, ул.Делегатская, 3",157596,91221,193260,27,79.4,158,1
Мемор.дом-музей М.К.Аммосова,128510,"677018 г.Якутск, ул.Аммосова, 3/4",0,0,0,6,4,0,1
Оршанский музей крестьян. труда и быта,126478,"425250 Респ.Марий Эл, Оршанский р-н, п.Оршанка, ул.Советская, 112",1851,376,0,12,8.8,3,2
Став.гос.муз-зап.им.Прозрителева и Праве,111970,"355035 г.Ставрополь, ул.Дзержинского, 135",248526,62739,311265,89,77,108,1
Южно-Курильский краеведческий музей,122316,"694500 Сахалинская обл., п.Южно-Курильск, ул.60 лет ВЛКСМ, 16",2055,5445,464,14,4.2,5,1
Выставочный центр г.Владимир,141853,"600000 г.Владимир, ул.Б.Московская, 59",2,0,0,27,7.5,9,2
Светлинский народный краеведческий музей,141590,"461740 Оренбургская обл., Светлинский р-н, п.Светлый, ул.Строителей, 24",1490,1414,2331,47,2.7,2,1
Чурапчинский музей истории и этнографии,128647,"678670 Респ.Саха(Якутия), с.Чурапча, ул.Музейная, 2",6038,1355,0,60,5.2,10,1
Мем.компл.летч.-космонавта А.Г.Николаева,128100,"429584 Чувашская Респ., Мариинско-Посадский р-н, с.Шоршелы, ул.Парковая, 14",3656,2730,3500,62,46.1,11,3
Слободской музейно-выставочный центр,116283,"613150 Кировская обл., г.Слободской, ул.Советская, 64а",26700,18719,7159,56,47.7,31,5
"Кулигинский краеведческий музей ""Истоки""",139143,"427573 Удмуртская Респ., Кезский р-н, с.Кулига, ул.Советская, 45а",0,0,0,7,2.2,2,1
"Музей-усадьба С.В.Рахманинова ""Ивановка""",122918,"393481 Тамбовская обл., Уваровский р-н, д.Ивановка",7254,5919,1151,89,98.4,52,5
Каргатский историко-краеведческий музей,120109,"632402 Новосибирская обл., г.Каргат, ул.Ленина, 4",4003,2405,1556,38,3.2,5,1
Белогорский краеведческий музей,112441,"676850 Амурская обл., г.Белогорск, ул.Кирова, 117/1",18417,7329,3930,59,51.6,6,1
"Музей литературных героев ""Повестей Белкина""",143098,"607940 Нижегородская обл., Большеболдинский р-н, с.Львовка",0,0,0,0,21.5,10,3
Музей Железнодорожного р-на Новосибирска,141251,"630004 г.Новосибирск, ул.Вокзальная магистраль, 3",4619,4481,683,10,2.3,9,1
Алупкинский дворцово-парковый музей-заповедник,142112,"298676 Республика Крым, г.Алупка, Дворцовское шоссе, 18",27598,947,155,26,718,364,26
Ярославский художественный музей,124237,"150000 г.Ярославль, Волжская наб., 23",70510,8790,78569,43,198.1,375,9
Суджанский краеведческий музей,117197,"307800 Курская обл., г.Суджа, ул.К.Либкнехта, 14",10525,3191,0,12,6.5,10,2
Таманский музейный комплекс,110836,"355555 Краснодарский край,Темрюкский р-н,ст-ца Тамань,ул.К.Маркса,100",14515,5387,14625,6,113.9,38,7
Медведевский ист.-художественный музей,126824,"425200 Респ.Марий Эл, п.Медведево, ул.Кооперативная, 7",4175,6799,250,16,15.4,14,1
Мемориальный музей К.А.Васильева,133289,"422532 Республика Татарстан, Зеленодольский р-н, п.Васильево, ул.Ленина, 61-4",1036,719,0,28,0.5,3,1
Борзинский краеведческий музей,137716,"674600 Забайкальский край, г.Борзя, ул.Пушкина, 25",4470,1251,400,12,2.7,6,1
Музей Героев-Панфиловцев д.Нелидово,119741,"143628 Московская обл., Волоколамский р-н, д.Нелидово, ул.Крестьянская, 18",1123,1138,0,0,5.6,3,1
Партизанский краеведческий музей,130967,"663540 Красноярский край, с.Партизанское, ул.Кравченко, 14",2210,1077,0,18,1.2,2,1
Арзамасский ист.-художественный музей,114324,"607220 Нижегородская обл., г.Арзамас, пл.Соборная, 9",33851,2898,883,42,36.6,25,4
Гос.музей истории космонавтики,115651,"248600 г.Калуга, ул.Академика Королева, 2",50606,24422,48761,25,268.4,135,9
Кисловодск.мем.музей-усад.худож.Ярошенко,112070,"357700 Ставропольский край, г.Кисловодск, ул.Ярошенко, 1-3",6085,2292,3515,20,38.3,30,8
Пятигорский краеведческий музей,112047,"357501 Ставропольский край, г.Пятигорск, ул.Братьев Бернардацци, 2",99467,35717,50387,63,38.6,36,1
